Date,PeriodLabel,Year,MonthNumber,ActualValue,IndexedValue,AnnualMovementValue,CommonIndexBaseDate,IndicatorSort,Indicator,IndicatorLabel,Unit
2005-08-01,2005-08,2005,8,386.0,126.55737704918033,0.05177111716621252,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-08-01,2005-08,2005,8,0.047,81.0344827586207,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-09-01,2005-09,2005,9,144528.0,185.41116100064144,0.055,2000-01-01,1,UK average house price,Index: house price,GBP
2005-09-01,2005-09,2005,9,387.0,126.88524590163934,0.04878048780487809,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-09-01,2005-09,2005,9,0.049,84.48275862068967,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-10-01,2005-10,2005,10,145065.0,186.10006414368186,0.045,2000-01-01,1,UK average house price,Index: house price,GBP
2005-10-01,2005-10,2005,10,388.0,127.21311475409836,0.043010752688172005,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-10-01,2005-10,2005,10,0.051,87.93103448275862,0.003999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-11-01,2005-11,2005,11,146103.0,187.4316869788326,0.049,2000-01-01,1,UK average house price,Index: house price,GBP
2005-11-01,2005-11,2005,11,390.0,127.86885245901641,0.048387096774193505,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-11-01,2005-11,2005,11,0.051,87.93103448275862,0.003999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2005-12-01,2005-12,2005,12,146852.0,188.3925593329057,0.063,2000-01-01,1,UK average house price,Index: house price,GBP
2005-12-01,2005-12,2005,12,390.0,127.86885245901641,0.04557640750670244,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2005-12-01,2005-12,2005,12,0.051,87.93103448275862,0.003999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-01-01,2006-01,2006,1,148246.0,190.18088518280948,0.062,2000-01-01,1,UK average house price,Index: house price,GBP
2006-01-01,2006-01,2006,1,391.0,128.19672131147541,0.0316622691292876,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-01-01,2006-01,2006,1,0.052000000000000005,89.65517241379311,0.0040000000000000036,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-02-01,2006-02,2006,2,149268.0,191.49198203976908,0.065,2000-01-01,1,UK average house price,Index: house price,GBP
2006-02-01,2006-02,2006,2,392.0,128.52459016393442,0.05660377358490565,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-02-01,2006-02,2006,2,0.052000000000000005,89.65517241379311,0.0050000000000000044,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-03-01,2006-03,2006,3,150372.0,192.9082745349583,0.065,2000-01-01,1,UK average house price,Index: house price,GBP
2006-03-01,2006-03,2006,3,398.0,130.49180327868854,0.0585106382978724,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-03-01,2006-03,2006,3,0.053,91.37931034482759,0.005999999999999998,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-04-01,2006-04,2006,4,151800.0,194.7402180885183,0.073,2000-01-01,1,UK average house price,Index: house price,GBP
2006-04-01,2006-04,2006,4,395.0,129.5081967213115,0.04221635883905006,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-04-01,2006-04,2006,4,0.054000000000000006,93.10344827586209,0.006000000000000005,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-05-01,2006-05,2006,5,152306.0,195.38935214881334,0.071,2000-01-01,1,UK average house price,Index: house price,GBP
2006-05-01,2006-05,2006,5,397.0,130.1639344262295,0.044736842105263186,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-05-01,2006-05,2006,5,0.055,94.82758620689657,0.006999999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-06-01,2006-06,2006,6,153117.0,196.42976266837718,0.073,2000-01-01,1,UK average house price,Index: house price,GBP
2006-06-01,2006-06,2006,6,401.0,131.47540983606558,0.0552631578947369,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-06-01,2006-06,2006,6,0.055,94.82758620689657,0.008,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-07-01,2006-07,2006,7,154127.0,197.72546504169338,0.07400000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2006-07-01,2006-07,2006,7,401.0,131.47540983606558,0.04699738903394257,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-07-01,2006-07,2006,7,0.055,94.82758620689657,0.008,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-08-01,2006-08,2006,8,155389.0,199.3444515715202,0.079,2000-01-01,1,UK average house price,Index: house price,GBP
2006-08-01,2006-08,2006,8,401.0,131.47540983606558,0.03886010362694292,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-08-01,2006-08,2006,8,0.055,94.82758620689657,0.008,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-09-01,2006-09,2006,9,156809.0,201.1661321359846,0.085,2000-01-01,1,UK average house price,Index: house price,GBP
2006-09-01,2006-09,2006,9,402.0,131.80327868852459,0.03875968992248069,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-09-01,2006-09,2006,9,0.055,94.82758620689657,0.005999999999999998,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-10-01,2006-10,2006,10,158611.0,203.47787042976267,0.094,2000-01-01,1,UK average house price,Index: house price,GBP
2006-10-01,2006-10,2006,10,405.0,132.78688524590163,0.04381443298969079,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-10-01,2006-10,2006,10,0.054000000000000006,93.10344827586209,0.0030000000000000096,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-11-01,2006-11,2006,11,160133.0,205.4304041051956,0.096,2000-01-01,1,UK average house price,Index: house price,GBP
2006-11-01,2006-11,2006,11,407.0,133.44262295081967,0.04358974358974366,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-11-01,2006-11,2006,11,0.055,94.82758620689657,0.0040000000000000036,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2006-12-01,2006-12,2006,12,162095.0,207.94740218088518,0.10400000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2006-12-01,2006-12,2006,12,412.0,135.08196721311475,0.05641025641025643,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2006-12-01,2006-12,2006,12,0.055,94.82758620689657,0.0040000000000000036,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-01-01,2007-01,2007,1,163817.0,210.1565105837075,0.105,2000-01-01,1,UK average house price,Index: house price,GBP
2007-01-01,2007-01,2007,1,415.0,136.0655737704918,0.0613810741687979,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-01-01,2007-01,2007,1,0.055,94.82758620689657,0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-02-01,2007-02,2007,2,165079.0,211.77549711353433,0.106,2000-01-01,1,UK average house price,Index: house price,GBP
2007-02-01,2007-02,2007,2,419.0,137.37704918032787,0.06887755102040827,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-02-01,2007-02,2007,2,0.055,94.82758620689657,0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-03-01,2007-03,2007,3,166361.0,213.42014111610007,0.106,2000-01-01,1,UK average house price,Index: house price,GBP
2007-03-01,2007-03,2007,3,416.0,136.3934426229508,0.045226130653266416,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-03-01,2007-03,2007,3,0.055,94.82758620689657,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-04-01,2007-04,2007,4,167653.0,215.0776138550353,0.10400000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2007-04-01,2007-04,2007,4,412.0,135.08196721311475,0.04303797468354431,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-04-01,2007-04,2007,4,0.054000000000000006,93.10344827586209,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-05-01,2007-05,2007,5,168558.0,216.23861449647208,0.106,2000-01-01,1,UK average house price,Index: house price,GBP
2007-05-01,2007-05,2007,5,416.0,136.3934426229508,0.04785894206549113,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-05-01,2007-05,2007,5,0.054000000000000006,93.10344827586209,-0.000999999999999994,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-06-01,2007-06,2007,6,169686.0,217.68569595894803,0.10800000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2007-06-01,2007-06,2007,6,418.0,137.04918032786887,0.04239401496259343,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-06-01,2007-06,2007,6,0.053,91.37931034482759,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-07-01,2007-07,2007,7,170458.0,218.67607440667095,0.106,2000-01-01,1,UK average house price,Index: house price,GBP
2007-07-01,2007-07,2007,7,420.0,137.70491803278688,0.04738154613466339,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-07-01,2007-07,2007,7,0.053,91.37931034482759,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-08-01,2007-08,2007,8,171402.0,219.88710711994867,0.10300000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2007-08-01,2007-08,2007,8,422.0,138.36065573770492,0.052369077306733125,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-08-01,2007-08,2007,8,0.053,91.37931034482759,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-09-01,2007-09,2007,9,172438.0,221.21616420782556,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2007-09-01,2007-09,2007,9,424.0,139.01639344262296,0.054726368159204064,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-09-01,2007-09,2007,9,0.052000000000000005,89.65517241379311,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-10-01,2007-10,2007,10,172990.0,221.92431045542014,0.091,2000-01-01,1,UK average house price,Index: house price,GBP
2007-10-01,2007-10,2007,10,423.0,138.68852459016395,0.04444444444444451,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-10-01,2007-10,2007,10,0.052000000000000005,89.65517241379311,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-11-01,2007-11,2007,11,173752.0,222.90186016677356,0.085,2000-01-01,1,UK average house price,Index: house price,GBP
2007-11-01,2007-11,2007,11,426.0,139.67213114754097,0.04668304668304679,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-11-01,2007-11,2007,11,0.052000000000000005,89.65517241379311,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2007-12-01,2007-12,2007,12,173485.0,222.55933290570877,0.07,2000-01-01,1,UK average house price,Index: house price,GBP
2007-12-01,2007-12,2007,12,426.0,139.67213114754097,0.03398058252427183,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2007-12-01,2007-12,2007,12,0.052000000000000005,89.65517241379311,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-01-01,2008-01,2008,1,172174.0,220.87748556767158,0.051,2000-01-01,1,UK average house price,Index: house price,GBP
2008-01-01,2008-01,2008,1,429.0,140.65573770491804,0.033734939759036076,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-01-01,2008-01,2008,1,0.052000000000000005,89.65517241379311,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-02-01,2008-02,2008,2,171446.0,219.94355355997436,0.039,2000-01-01,1,UK average house price,Index: house price,GBP
2008-02-01,2008-02,2008,2,435.0,142.62295081967213,0.038186157517899666,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-02-01,2008-02,2008,2,0.052000000000000005,89.65517241379311,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-03-01,2008-03,2008,3,170337.0,218.5208466966004,0.024,2000-01-01,1,UK average house price,Index: house price,GBP
2008-03-01,2008-03,2008,3,437.0,143.27868852459017,0.05048076923076916,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-03-01,2008-03,2008,3,0.053,91.37931034482759,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-04-01,2008-04,2008,4,168514.0,216.18216805644644,0.005,2000-01-01,1,UK average house price,Index: house price,GBP
2008-04-01,2008-04,2008,4,432.0,141.63934426229508,0.04854368932038833,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-04-01,2008-04,2008,4,0.052000000000000005,89.65517241379311,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-05-01,2008-05,2008,5,168588.0,216.2771007055805,0.0,2000-01-01,1,UK average house price,Index: house price,GBP
2008-05-01,2008-05,2008,5,434.0,142.29508196721312,0.04326923076923084,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-05-01,2008-05,2008,5,0.054000000000000006,93.10344827586209,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-06-01,2008-06,2008,6,165630.0,212.48236048749197,-0.024,2000-01-01,1,UK average house price,Index: house price,GBP
2008-06-01,2008-06,2008,6,433.0,141.96721311475412,0.03588516746411474,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-06-01,2008-06,2008,6,0.055,94.82758620689657,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-07-01,2008-07,2008,7,162453.0,208.40667094291211,-0.047,2000-01-01,1,UK average house price,Index: house price,GBP
2008-07-01,2008-07,2008,7,435.0,142.62295081967213,0.03571428571428581,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-07-01,2008-07,2008,7,0.057,98.27586206896552,0.0040000000000000036,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-08-01,2008-08,2008,8,159018.0,204.0,-0.07200000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2008-08-01,2008-08,2008,8,435.0,142.62295081967213,0.0308056872037914,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-08-01,2008-08,2008,8,0.059000000000000004,101.72413793103449,0.006000000000000005,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-09-01,2008-09,2008,9,155674.0,199.71007055805003,-0.09699999999999999,2000-01-01,1,UK average house price,Index: house price,GBP
2008-09-01,2008-09,2008,9,435.0,142.62295081967213,0.02594339622641506,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-09-01,2008-09,2008,9,0.06,103.44827586206897,0.007999999999999993,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-10-01,2008-10,2008,10,153417.0,196.8146247594612,-0.113,2000-01-01,1,UK average house price,Index: house price,GBP
2008-10-01,2008-10,2008,10,437.0,143.27868852459017,0.03309692671394804,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-10-01,2008-10,2008,10,0.062000000000000006,106.89655172413795,0.010000000000000002,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-11-01,2008-11,2008,11,149849.0,192.23733162283517,-0.13699999999999998,2000-01-01,1,UK average house price,Index: house price,GBP
2008-11-01,2008-11,2008,11,436.0,142.95081967213116,0.023474178403755763,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-11-01,2008-11,2008,11,0.064,110.34482758620692,0.011999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2008-12-01,2008-12,2008,12,147658.0,189.4265554842848,-0.149,2000-01-01,1,UK average house price,Index: house price,GBP
2008-12-01,2008-12,2008,12,436.0,142.95081967213116,0.023474178403755763,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2008-12-01,2008-12,2008,12,0.065,112.0689655172414,0.012999999999999998,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-01-01,2009-01,2009,1,145719.0,186.93906350224503,-0.154,2000-01-01,1,UK average house price,Index: house price,GBP
2009-01-01,2009-01,2009,1,421.0,138.03278688524588,-0.018648018648018683,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-01-01,2009-01,2009,1,0.067,115.51724137931036,0.015,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-02-01,2009-02,2009,2,144592.0,185.49326491340602,-0.156,2000-01-01,1,UK average house price,Index: house price,GBP
2009-02-01,2009-02,2009,2,409.0,134.0983606557377,-0.05977011494252871,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-02-01,2009-02,2009,2,0.071,122.41379310344827,0.01899999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-03-01,2009-03,2009,3,143884.0,184.58499037844774,-0.155,2000-01-01,1,UK average house price,Index: house price,GBP
2009-03-01,2009-03,2009,3,433.0,141.96721311475412,-0.009153318077803174,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-03-01,2009-03,2009,3,0.073,125.86206896551724,0.019999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-04-01,2009-04,2009,4,143408.0,183.97434252726106,-0.149,2000-01-01,1,UK average house price,Index: house price,GBP
2009-04-01,2009-04,2009,4,438.0,143.60655737704917,0.01388888888888884,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-04-01,2009-04,2009,4,0.076,131.0344827586207,0.023999999999999994,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-05-01,2009-05,2009,5,144652.0,185.57023733162282,-0.14300000000000002,2000-01-01,1,UK average house price,Index: house price,GBP
2009-05-01,2009-05,2009,5,437.0,143.27868852459017,0.00691244239631339,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-05-01,2009-05,2009,5,0.078,134.48275862068965,0.023999999999999994,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-06-01,2009-06,2009,6,145404.0,186.5349583066068,-0.122,2000-01-01,1,UK average house price,Index: house price,GBP
2009-06-01,2009-06,2009,6,438.0,143.60655737704917,0.011547344110854452,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-06-01,2009-06,2009,6,0.079,136.20689655172416,0.024,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-07-01,2009-07,2009,7,146718.0,188.22065426555483,-0.09699999999999999,2000-01-01,1,UK average house price,Index: house price,GBP
2009-07-01,2009-07,2009,7,437.0,143.27868852459017,0.0045977011494253706,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-07-01,2009-07,2009,7,0.079,136.20689655172416,0.022,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-08-01,2009-08,2009,8,148102.0,189.99615137908916,-0.069,2000-01-01,1,UK average house price,Index: house price,GBP
2009-08-01,2009-08,2009,8,438.0,143.60655737704917,0.006896551724137945,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-08-01,2009-08,2009,8,0.078,134.48275862068965,0.018999999999999996,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-09-01,2009-09,2009,9,149845.0,192.23220012828736,-0.037000000000000005,2000-01-01,1,UK average house price,Index: house price,GBP
2009-09-01,2009-09,2009,9,439.0,143.9344262295082,0.009195402298850519,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-09-01,2009-09,2009,9,0.079,136.20689655172416,0.019000000000000003,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-10-01,2009-10,2009,10,151829.0,194.77742142398972,-0.01,2000-01-01,1,UK average house price,Index: house price,GBP
2009-10-01,2009-10,2009,10,439.0,143.9344262295082,0.004576659038901587,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-10-01,2009-10,2009,10,0.078,134.48275862068965,0.015999999999999993,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-11-01,2009-11,2009,11,153066.0,196.3643361128929,0.022000000000000002,2000-01-01,1,UK average house price,Index: house price,GBP
2009-11-01,2009-11,2009,11,440.0,144.2622950819672,0.00917431192660545,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-11-01,2009-11,2009,11,0.078,134.48275862068965,0.013999999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2009-12-01,2009-12,2009,12,154287.0,197.93072482360486,0.044000000000000004,2000-01-01,1,UK average house price,Index: house price,GBP
2009-12-01,2009-12,2009,12,440.0,144.2622950819672,0.00917431192660545,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2009-12-01,2009-12,2009,12,0.077,132.75862068965517,0.011999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-01-01,2010-01,2010,1,155181.0,199.07761385503528,0.065,2000-01-01,1,UK average house price,Index: house price,GBP
2010-01-01,2010-01,2010,1,439.0,143.9344262295082,0.04275534441805218,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-01-01,2010-01,2010,1,0.079,136.20689655172416,0.011999999999999997,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-02-01,2010-02,2010,2,156114.0,200.27453495830662,0.08,2000-01-01,1,UK average house price,Index: house price,GBP
2010-02-01,2010-02,2010,2,446.0,146.22950819672133,0.09046454767726164,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-02-01,2010-02,2010,2,0.08,137.93103448275863,0.009000000000000008,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-03-01,2010-03,2010,3,156293.0,200.5041693393201,0.087,2000-01-01,1,UK average house price,Index: house price,GBP
2010-03-01,2010-03,2010,3,441.0,144.59016393442624,0.018475750577367167,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-03-01,2010-03,2010,3,0.08,137.93103448275863,0.007000000000000006,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-04-01,2010-04,2010,4,156440.0,200.69275176395126,0.091,2000-01-01,1,UK average house price,Index: house price,GBP
2010-04-01,2010-04,2010,4,442.0,144.91803278688525,0.009132420091324311,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-04-01,2010-04,2010,4,0.079,136.20689655172416,0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-05-01,2010-05,2010,5,156503.0,200.77357280307888,0.081,2000-01-01,1,UK average house price,Index: house price,GBP
2010-05-01,2010-05,2010,5,443.0,145.24590163934425,0.013729977116704761,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-05-01,2010-05,2010,5,0.079,136.20689655172416,0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-06-01,2010-06,2010,6,156527.0,200.8043617703656,0.076,2000-01-01,1,UK average house price,Index: house price,GBP
2010-06-01,2010-06,2010,6,442.0,144.91803278688525,0.009132420091324311,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-06-01,2010-06,2010,6,0.078,134.48275862068965,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-07-01,2010-07,2010,7,156690.0,201.01347017318795,0.068,2000-01-01,1,UK average house price,Index: house price,GBP
2010-07-01,2010-07,2010,7,443.0,145.24590163934425,0.013729977116704761,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-07-01,2010-07,2010,7,0.078,134.48275862068965,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-08-01,2010-08,2010,8,156574.0,200.8646568313021,0.057,2000-01-01,1,UK average house price,Index: house price,GBP
2010-08-01,2010-08,2010,8,445.0,145.9016393442623,0.015981735159817267,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-08-01,2010-08,2010,8,0.078,134.48275862068965,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-09-01,2010-09,2010,9,156739.0,201.0763309813983,0.046,2000-01-01,1,UK average house price,Index: house price,GBP
2010-09-01,2010-09,2010,9,446.0,146.22950819672133,0.015945330296127658,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-09-01,2010-09,2010,9,0.079,136.20689655172416,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-10-01,2010-10,2010,10,156129.0,200.2937780628608,0.027999999999999997,2000-01-01,1,UK average house price,Index: house price,GBP
2010-10-01,2010-10,2010,10,447.0,146.55737704918033,0.018223234624145768,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-10-01,2010-10,2010,10,0.079,136.20689655172416,0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-11-01,2010-11,2010,11,154892.0,198.70686337395767,0.012,2000-01-01,1,UK average house price,Index: house price,GBP
2010-11-01,2010-11,2010,11,448.0,146.88524590163934,0.018181818181818077,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-11-01,2010-11,2010,11,0.079,136.20689655172416,0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2010-12-01,2010-12,2010,12,154928.0,198.75304682488775,0.004,2000-01-01,1,UK average house price,Index: house price,GBP
2010-12-01,2010-12,2010,12,449.0,147.21311475409834,0.020454545454545503,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2010-12-01,2010-12,2010,12,0.079,136.20689655172416,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2011-01-01,2011-01,2011,1,154978.0,198.8171905067351,-0.001,2000-01-01,1,UK average house price,Index: house price,GBP
2011-01-01,2011-01,2011,1,458.0,150.1639344262295,0.04328018223234631,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2011-01-01,2011-01,2011,1,0.078,134.48275862068965,-0.0010000000000000009,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2011-02-01,2011-02,2011,2,154664.0,198.4143681847338,-0.009000000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2011-02-01,2011-02,2011,2,453.0,148.52459016393442,0.015695067264573925,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2011-02-01,2011-02,2011,2,0.078,134.48275862068965,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2011-03-01,2011-03,2011,3,154055.0,197.63309813983324,-0.013000000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2011-03-01,2011-03,2011,3,453.0,148.52459016393442,0.027210884353741527,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2011-03-01,2011-03,2011,3,0.077,132.75862068965517,-0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2011-04-01,2011-04,2011,4,154743.0,198.5157152020526,-0.011000000000000001,2000-01-01,1,UK average house price,Index: house price,GBP
2011-04-01,2011-04,2011,4,451.0,147.8688524590164,0.020361990950226172,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
