Date,PeriodLabel,Year,MonthNumber,ActualValue,IndexedValue,AnnualMovementValue,CommonIndexBaseDate,IndicatorSort,Indicator,IndicatorLabel,Unit
2001-02-01,2001-02,2001,2,0.051,87.93103448275862,-0.006999999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-03-01,2001-03,2001,3,85794.0,110.06286080821039,0.10099999999999999,2000-01-01,1,UK average house price,Index: house price,GBP
2001-03-01,2001-03,2001,3,326.0,106.88524590163935,0.048231511254019255,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-03-01,2001-03,2001,3,0.05,86.20689655172414,-0.006999999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-04-01,2001-04,2001,4,88892.0,114.03720333547145,0.081,2000-01-01,1,UK average house price,Index: house price,GBP
2001-04-01,2001-04,2001,4,326.0,106.88524590163935,0.055016181229773364,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-04-01,2001-04,2001,4,0.049,84.48275862068967,-0.006999999999999992,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-05-01,2001-05,2001,5,88892.0,114.03720333547145,0.081,2000-01-01,1,UK average house price,Index: house price,GBP
2001-05-01,2001-05,2001,5,327.0,107.21311475409836,0.05144694533762051,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-05-01,2001-05,2001,5,0.05,86.20689655172414,-0.0049999999999999975,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-06-01,2001-06,2001,6,88892.0,114.03720333547145,0.081,2000-01-01,1,UK average house price,Index: house price,GBP
2001-06-01,2001-06,2001,6,328.0,107.54098360655738,0.05466237942122176,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-06-01,2001-06,2001,6,0.05,86.20689655172414,-0.0029999999999999957,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-07-01,2001-07,2001,7,92090.0,118.1398332264272,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2001-07-01,2001-07,2001,7,328.0,107.54098360655738,0.04792332268370614,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-07-01,2001-07,2001,7,0.051,87.93103448275862,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-08-01,2001-08,2001,8,92090.0,118.1398332264272,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2001-08-01,2001-08,2001,8,331.0,108.52459016393443,0.050793650793650835,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-08-01,2001-08,2001,8,0.051,87.93103448275862,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-09-01,2001-09,2001,9,92090.0,118.1398332264272,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2001-09-01,2001-09,2001,9,331.0,108.52459016393443,0.04416403785488954,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-09-01,2001-09,2001,9,0.051,87.93103448275862,-0.0030000000000000096,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-10-01,2001-10,2001,10,90242.0,115.76908274534958,0.046,2000-01-01,1,UK average house price,Index: house price,GBP
2001-10-01,2001-10,2001,10,333.0,109.18032786885246,0.04716981132075482,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-10-01,2001-10,2001,10,0.051,87.93103448275862,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-11-01,2001-11,2001,11,90242.0,115.76908274534958,0.046,2000-01-01,1,UK average house price,Index: house price,GBP
2001-11-01,2001-11,2001,11,334.0,109.50819672131146,0.043749999999999956,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-11-01,2001-11,2001,11,0.052000000000000005,89.65517241379311,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2001-12-01,2001-12,2001,12,90242.0,115.76908274534958,0.046,2000-01-01,1,UK average house price,Index: house price,GBP
2001-12-01,2001-12,2001,12,334.0,109.50819672131146,0.034055727554179516,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2001-12-01,2001-12,2001,12,0.052000000000000005,89.65517241379311,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-01-01,2002-01,2002,1,89928.0,115.3662604233483,0.048,2000-01-01,1,UK average house price,Index: house price,GBP
2002-01-01,2002-01,2002,1,333.0,109.18032786885246,0.03738317757009346,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-01-01,2002-01,2002,1,0.051,87.93103448275862,-0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-02-01,2002-02,2002,2,93190.0,119.55099422706863,0.086,2000-01-01,1,UK average house price,Index: house price,GBP
2002-02-01,2002-02,2002,2,334.0,109.50819672131146,0.027692307692307683,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-02-01,2002-02,2002,2,0.052000000000000005,89.65517241379311,0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-03-01,2002-03,2002,3,96451.0,123.73444515715202,0.124,2000-01-01,1,UK average house price,Index: house price,GBP
2002-03-01,2002-03,2002,3,334.0,109.50819672131146,0.024539877300613577,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-03-01,2002-03,2002,3,0.052000000000000005,89.65517241379311,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-04-01,2002-04,2002,4,97756.0,125.40859525336754,0.1,2000-01-01,1,UK average house price,Index: house price,GBP
2002-04-01,2002-04,2002,4,338.0,110.81967213114754,0.036809815950920255,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-04-01,2002-04,2002,4,0.052000000000000005,89.65517241379311,0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-05-01,2002-05,2002,5,100272.0,128.6363053239256,0.128,2000-01-01,1,UK average house price,Index: house price,GBP
2002-05-01,2002-05,2002,5,339.0,111.14754098360655,0.03669724770642202,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-05-01,2002-05,2002,5,0.052000000000000005,89.65517241379311,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-06-01,2002-06,2002,6,104372.0,133.89608723540732,0.174,2000-01-01,1,UK average house price,Index: house price,GBP
2002-06-01,2002-06,2002,6,340.0,111.47540983606557,0.03658536585365857,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-06-01,2002-06,2002,6,0.052000000000000005,89.65517241379311,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-07-01,2002-07,2002,7,105211.0,134.97241821680564,0.142,2000-01-01,1,UK average house price,Index: house price,GBP
2002-07-01,2002-07,2002,7,341.0,111.8032786885246,0.03963414634146334,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-07-01,2002-07,2002,7,0.052000000000000005,89.65517241379311,0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-08-01,2002-08,2002,8,107541.0,137.9615137908916,0.168,2000-01-01,1,UK average house price,Index: house price,GBP
2002-08-01,2002-08,2002,8,341.0,111.8032786885246,0.030211480362537735,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-08-01,2002-08,2002,8,0.053,91.37931034482759,0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-09-01,2002-09,2002,9,110150.0,141.30853110968567,0.196,2000-01-01,1,UK average house price,Index: house price,GBP
2002-09-01,2002-09,2002,9,342.0,112.1311475409836,0.0332326283987916,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-09-01,2002-09,2002,9,0.052000000000000005,89.65517241379311,0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-10-01,2002-10,2002,10,110989.0,142.38486209108402,0.23,2000-01-01,1,UK average house price,Index: house price,GBP
2002-10-01,2002-10,2002,10,342.0,112.1311475409836,0.027027027027026973,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-10-01,2002-10,2002,10,0.052000000000000005,89.65517241379311,0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-11-01,2002-11,2002,11,112107.0,143.8191148171905,0.242,2000-01-01,1,UK average house price,Index: house price,GBP
2002-11-01,2002-11,2002,11,343.0,112.45901639344262,0.026946107784431073,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-11-01,2002-11,2002,11,0.051,87.93103448275862,-0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2002-12-01,2002-12,2002,12,115835.0,148.60166773572803,0.284,2000-01-01,1,UK average house price,Index: house price,GBP
2002-12-01,2002-12,2002,12,343.0,112.45901639344262,0.026946107784431073,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2002-12-01,2002-12,2002,12,0.05,86.20689655172414,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-01-01,2003-01,2003,1,114996.0,147.52533675432971,0.27899999999999997,2000-01-01,1,UK average house price,Index: house price,GBP
2003-01-01,2003-01,2003,1,339.0,111.14754098360655,0.018018018018018056,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-01-01,2003-01,2003,1,0.051,87.93103448275862,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-02-01,2003-02,2003,2,113785.0,145.97177677998715,0.221,2000-01-01,1,UK average house price,Index: house price,GBP
2003-02-01,2003-02,2003,2,341.0,111.8032786885246,0.020958083832335328,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-02-01,2003-02,2003,2,0.052000000000000005,89.65517241379311,0.0,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-03-01,2003-03,2003,3,116208.0,149.08017960230916,0.205,2000-01-01,1,UK average house price,Index: house price,GBP
2003-03-01,2003-03,2003,3,349.0,114.42622950819671,0.04491017964071853,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-03-01,2003-03,2003,3,0.051,87.93103448275862,-0.0010000000000000078,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-04-01,2003-04,2003,4,119003.0,152.66581141757536,0.217,2000-01-01,1,UK average house price,Index: house price,GBP
2003-04-01,2003-04,2003,4,347.0,113.7704918032787,0.026627218934911268,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-04-01,2003-04,2003,4,0.05,86.20689655172414,-0.0020000000000000018,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-05-01,2003-05,2003,5,118164.0,151.58948043617704,0.17800000000000002,2000-01-01,1,UK average house price,Index: house price,GBP
2003-05-01,2003-05,2003,5,348.0,114.09836065573771,0.026548672566371723,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2003-05-01,2003-05,2003,5,0.049,84.48275862068967,-0.0030000000000000027,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2003-06-01,2003-06,2003,6,118444.0,151.94868505452212,0.135,2000-01-01,1,UK average house price,Index: house price,GBP
2003-06-01,2003-06,2003,6,349.0,114.42622950819671,0.026470588235294024,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
